,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
205536,TXWOQDYE83,42.0,109526.0,226591.0,464.0,118.0,2.0,14.91,24.0,0.41,High School,Full-time,Divorced,Yes,Yes,Business,Yes,1.0
205537,ZG5F8NDAW0,51.0,92165.0,68054.0,761.0,27.0,1.0,15.89,12.0,0.38,Bachelor's,Self-employed,Married,Yes,No,Home,No,1.0
205545,8CRR3ESEDV,34.0,144899.0,80052.0,826.0,48.0,4.0,8.38,48.0,0.85,PhD,Full-time,Single,No,No,Education,No,1.0
205549,XIUJYL7UX6,22.0,101793.0,65176.0,696.0,17.0,1.0,12.97,24.0,0.66,Bachelor's,Self-employed,Divorced,Yes,Yes,Other,Yes,1.0
205583,BPRQ9X9URU,29.0,128854.0,159172.0,332.0,93.0,1.0,20.6,12.0,0.38,PhD,Unemployed,Divorced,No,No,Education,No,1.0
205587,NT6YFTQO4Z,31.0,131889.0,138524.0,569.0,74.0,3.0,16.96,60.0,0.43,Bachelor's,Full-time,Single,Yes,No,Business,No,1.0
205592,NU53Z5NS2O,50.0,35166.0,226867.0,564.0,74.0,3.0,17.47,48.0,0.79,Bachelor's,Unemployed,Single,No,Yes,Auto,Yes,1.0
205602,0M8Z82PKMF,22.0,131816.0,53787.0,503.0,25.0,2.0,17.09,36.0,0.73,Master's,Part-time,Divorced,No,No,Home,No,1.0
205603,QEPA63H0QM,30.0,38455.0,183129.0,370.0,3.0,3.0,9.22,12.0,0.88,Bachelor's,Self-employed,Single,Yes,No,Business,No,1.0
205606,JMFTZE712U,57.0,26090.0,199932.0,742.0,22.0,2.0,14.45,36.0,0.48,PhD,Full-time,Single,No,Yes,Home,Yes,1.0
205618,9TXNEKK7EW,60.0,25929.0,163470.0,428.0,54.0,3.0,11.45,36.0,0.4,Master's,Unemployed,Divorced,Yes,No,Home,Yes,1.0
205622,4HEBUUHY10,44.0,131737.0,123403.0,842.0,11.0,4.0,13.14,36.0,0.57,Bachelor's,Full-time,Married,No,Yes,Business,Yes,1.0
205624,WDZ0ZJ7FKT,26.0,25574.0,221315.0,361.0,82.0,4.0,13.94,60.0,0.52,Bachelor's,Part-time,Divorced,No,Yes,Business,Yes,1.0
205631,ZNXQJGE62A,42.0,129330.0,199399.0,431.0,43.0,2.0,13.73,60.0,0.18,High School,Unemployed,Single,Yes,No,Education,No,1.0
205632,4PEQU87DD2,37.0,147565.0,191157.0,438.0,55.0,1.0,19.7,36.0,0.23,High School,Unemployed,Divorced,Yes,No,Home,No,1.0
205637,ISS5Y3J5ZB,31.0,144697.0,147252.0,743.0,35.0,4.0,7.26,48.0,0.77,Master's,Part-time,Divorced,Yes,No,Auto,No,1.0
205640,90JC6LR58V,18.0,82786.0,245858.0,455.0,76.0,4.0,15.46,60.0,0.71,PhD,Self-employed,Married,Yes,No,Education,No,1.0
205643,G6TN7UM0S2,60.0,116624.0,167495.0,460.0,34.0,3.0,20.16,12.0,0.69,Master's,Full-time,Single,No,Yes,Business,No,1.0
205657,WKUZH9SO5Z,35.0,122348.0,208954.0,328.0,107.0,4.0,18.04,12.0,0.87,High School,Unemployed,Divorced,No,Yes,Auto,Yes,1.0
205662,W6JGCSH5ZA,26.0,94661.0,137902.0,326.0,8.0,4.0,18.29,36.0,0.11,High School,Unemployed,Divorced,No,No,Auto,No,1.0
205666,PEQTGCNCUQ,24.0,58506.0,134010.0,512.0,55.0,2.0,24.0,36.0,0.49,Master's,Self-employed,Single,No,Yes,Business,No,1.0
205668,FZEDK6TO5T,21.0,19946.0,231650.0,562.0,97.0,4.0,18.25,60.0,0.25,Master's,Unemployed,Divorced,No,Yes,Business,No,1.0
205670,GQE71OCRKF,42.0,36778.0,32829.0,407.0,70.0,1.0,24.39,48.0,0.14,High School,Full-time,Divorced,No,Yes,Home,No,1.0
205675,EH93FCRJH2,57.0,111350.0,160791.0,820.0,14.0,2.0,3.9,60.0,0.58,High School,Part-time,Single,No,Yes,Business,Yes,1.0
205676,8I8F7O9CVQ,31.0,47760.0,224607.0,471.0,56.0,2.0,14.22,36.0,0.44,PhD,Self-employed,Married,Yes,No,Other,Yes,1.0
205677,FGZSHS3QZC,55.0,102369.0,177767.0,568.0,1.0,3.0,11.44,12.0,0.27,PhD,Part-time,Married,No,Yes,Education,No,1.0
205711,7WK98RBWCE,27.0,92656.0,167522.0,331.0,116.0,4.0,20.65,12.0,0.75,Master's,Unemployed,Divorced,Yes,Yes,Education,No,1.0
205719,GLDQX1IYZA,19.0,79616.0,227721.0,628.0,92.0,2.0,21.03,36.0,0.78,Bachelor's,Part-time,Divorced,Yes,No,Auto,Yes,1.0
205725,EPFXQD5VD2,44.0,97450.0,154902.0,815.0,27.0,2.0,2.94,12.0,0.27,Bachelor's,Self-employed,Married,No,No,Business,No,1.0
205738,KV3UI0AOCQ,51.0,72140.0,15843.0,550.0,94.0,2.0,22.13,24.0,0.48,Bachelor's,Full-time,Married,No,No,Other,No,1.0
205749,HIKX0Z20VN,58.0,73601.0,60936.0,395.0,50.0,3.0,18.81,36.0,0.88,Bachelor's,Full-time,Divorced,No,No,Home,No,1.0
205768,M6R2CYY89D,41.0,17125.0,205626.0,523.0,26.0,2.0,22.06,60.0,0.41,Bachelor's,Self-employed,Married,No,No,Business,No,1.0
205769,ZHDW2AYIXL,23.0,57338.0,60663.0,446.0,56.0,4.0,11.9,12.0,0.45,PhD,Self-employed,Single,Yes,Yes,Auto,No,1.0
205774,AUMVPD82U8,26.0,131729.0,62575.0,604.0,69.0,1.0,14.11,36.0,0.84,High School,Part-time,Single,No,Yes,Auto,Yes,1.0
205776,FPZ5NKKXTS,34.0,69505.0,141716.0,835.0,99.0,2.0,21.18,24.0,0.76,High School,Self-employed,Single,No,No,Auto,Yes,1.0
205785,1X6Q4SPRXA,48.0,33945.0,192355.0,575.0,71.0,1.0,16.91,36.0,0.25,High School,Unemployed,Single,Yes,Yes,Home,No,1.0
205794,AMTD1WM440,31.0,103230.0,162114.0,486.0,100.0,3.0,20.86,24.0,0.42,PhD,Full-time,Divorced,Yes,No,Auto,No,1.0
205799,GIUMMCHIC5,29.0,52238.0,210716.0,584.0,72.0,4.0,20.99,60.0,0.64,Bachelor's,Part-time,Married,Yes,Yes,Other,No,1.0
205800,PEL9TY9RUZ,25.0,17003.0,39959.0,472.0,6.0,1.0,22.68,60.0,0.72,High School,Full-time,Divorced,Yes,Yes,Other,Yes,1.0
205825,LVALK0518Z,20.0,114766.0,151346.0,504.0,49.0,3.0,21.68,12.0,0.34,Master's,Self-employed,Married,No,Yes,Education,No,1.0
205836,ZOE5KV9DB0,29.0,129758.0,89246.0,434.0,60.0,1.0,15.27,48.0,0.79,PhD,Full-time,Single,No,No,Auto,Yes,1.0
205851,NII1VB4X2W,65.0,30057.0,146676.0,793.0,34.0,3.0,21.79,12.0,0.5,High School,Self-employed,Single,Yes,Yes,Home,Yes,1.0
205856,HVZ1YU1SY6,44.0,69457.0,171523.0,397.0,111.0,3.0,19.04,12.0,0.75,Master's,Self-employed,Single,Yes,Yes,Education,Yes,1.0
205879,OZKR2MSVDV,27.0,20416.0,88670.0,829.0,74.0,2.0,3.09,48.0,0.89,PhD,Unemployed,Divorced,Yes,Yes,Other,No,1.0
205904,71AZMZZ8QE,50.0,17156.0,240415.0,456.0,112.0,3.0,21.75,36.0,0.37,High School,Full-time,Married,Yes,No,Education,No,1.0
205910,Q1P9POIQNY,27.0,18971.0,229235.0,744.0,39.0,4.0,9.33,60.0,0.64,High School,Part-time,Single,Yes,No,Auto,Yes,1.0
205916,CUADNXKK6Z,52.0,33155.0,55164.0,445.0,89.0,2.0,17.01,12.0,0.19,PhD,Part-time,Single,Yes,No,Other,Yes,1.0
205931,YLJ9QFXPKJ,69.0,85068.0,102075.0,317.0,56.0,4.0,24.1,12.0,0.12,PhD,Unemployed,Divorced,No,No,Home,No,1.0
205969,9SUIYOL7WM,20.0,29357.0,176106.0,538.0,5.0,1.0,2.66,12.0,0.56,High School,Unemployed,Married,No,Yes,Other,Yes,1.0
205976,1JO00CQCST,53.0,48139.0,43337.0,312.0,68.0,3.0,22.26,12.0,0.64,High School,Self-employed,Married,Yes,No,Education,No,1.0
205985,NYABC1VNC6,24.0,86964.0,30938.0,507.0,61.0,1.0,24.71,12.0,0.16,High School,Self-employed,Married,No,No,Home,Yes,1.0
205989,TVJTVPLWN0,23.0,16361.0,77600.0,735.0,42.0,3.0,15.63,24.0,0.88,High School,Part-time,Divorced,Yes,No,Auto,No,1.0
205998,QT4FDBKVEK,32.0,18895.0,160319.0,745.0,30.0,3.0,18.06,24.0,0.85,Master's,Unemployed,Married,No,No,Education,No,1.0
205999,K08LR36R5O,24.0,71776.0,215780.0,676.0,83.0,1.0,5.34,48.0,0.8,High School,Self-employed,Single,No,No,Home,No,1.0
206007,WAO7QS5RTK,37.0,113163.0,244939.0,560.0,23.0,1.0,8.99,60.0,0.86,High School,Full-time,Married,No,Yes,Auto,No,1.0
206012,I9SEH48IZT,58.0,30116.0,127261.0,430.0,20.0,4.0,24.6,60.0,0.51,PhD,Unemployed,Married,No,No,Auto,Yes,1.0
206016,ZKOR2H21HH,18.0,88722.0,228079.0,469.0,82.0,1.0,24.7,12.0,0.7,Bachelor's,Self-employed,Married,Yes,Yes,Education,Yes,1.0
206018,9C1ZWPXCYJ,53.0,27132.0,136370.0,530.0,97.0,3.0,16.81,24.0,0.34,High School,Unemployed,Single,No,Yes,Home,No,1.0
206021,NZ2XP61CVQ,35.0,96202.0,128117.0,787.0,76.0,3.0,14.81,12.0,0.15,High School,Full-time,Single,Yes,Yes,Business,No,1.0
206023,4JCQECVWOE,57.0,87503.0,159365.0,700.0,94.0,1.0,4.15,48.0,0.17,Bachelor's,Part-time,Divorced,No,Yes,Education,No,1.0
206030,MAEG4P2YVH,41.0,29128.0,219075.0,444.0,22.0,1.0,17.38,36.0,0.14,Bachelor's,Self-employed,Divorced,No,No,Business,Yes,1.0
206035,FJBNE6RR7I,43.0,32130.0,13794.0,344.0,107.0,2.0,22.49,48.0,0.76,High School,Full-time,Divorced,No,Yes,Education,No,1.0
206068,UETOF12Z3W,47.0,26240.0,200248.0,456.0,64.0,2.0,15.15,12.0,0.25,Bachelor's,Part-time,Divorced,Yes,No,Business,No,1.0
206070,2ZICXEJ6DV,31.0,50800.0,205776.0,815.0,62.0,4.0,16.32,36.0,0.72,High School,Full-time,Single,No,No,Education,No,1.0
206078,2LS2FAZY37,19.0,28078.0,117611.0,379.0,60.0,3.0,24.51,36.0,0.22,PhD,Part-time,Married,No,Yes,Auto,Yes,1.0
206080,JJBLQ1QCNG,23.0,90977.0,217034.0,808.0,57.0,2.0,10.97,36.0,0.59,PhD,Part-time,Married,No,Yes,Business,Yes,1.0
206084,137RZJM3M2,48.0,110280.0,93060.0,799.0,38.0,2.0,12.79,48.0,0.27,Bachelor's,Part-time,Divorced,Yes,No,Other,No,1.0
206095,U4OSBFSBY7,21.0,120991.0,112236.0,412.0,53.0,4.0,18.65,12.0,0.42,Bachelor's,Part-time,Divorced,No,No,Other,Yes,1.0
206103,IPM4RMHEQW,52.0,16329.0,96001.0,385.0,79.0,3.0,17.01,12.0,0.38,Bachelor's,Full-time,Married,Yes,Yes,Other,Yes,1.0
206106,NIMQURKF2M,44.0,22852.0,202812.0,785.0,17.0,4.0,8.9,36.0,0.44,High School,Unemployed,Single,No,Yes,Other,Yes,1.0
206109,5YMDE2UH3E,29.0,37653.0,203946.0,705.0,82.0,4.0,14.29,48.0,0.57,PhD,Self-employed,Divorced,No,No,Education,No,1.0
206120,ZS2GK4W6CF,40.0,133153.0,244410.0,666.0,102.0,3.0,18.36,24.0,0.55,Master's,Part-time,Divorced,No,No,Home,Yes,1.0
206135,J8VHJGF2F4,22.0,49290.0,84835.0,475.0,71.0,4.0,12.86,36.0,0.72,Master's,Self-employed,Married,Yes,No,Home,Yes,1.0
206142,DRUP4BBWF1,18.0,77514.0,79339.0,375.0,47.0,2.0,13.84,36.0,0.34,Master's,Part-time,Married,No,Yes,Other,Yes,1.0
206150,4NCGMNK0O2,32.0,27170.0,166837.0,325.0,89.0,2.0,7.67,60.0,0.26,PhD,Unemployed,Divorced,Yes,No,Education,Yes,1.0
206153,PHDS8B6J0Z,63.0,80629.0,176955.0,685.0,6.0,4.0,9.2,12.0,0.64,Bachelor's,Unemployed,Single,No,No,Education,Yes,1.0
206154,6IJHR1QOV4,30.0,132503.0,89186.0,464.0,63.0,1.0,8.69,36.0,0.81,Master's,Self-employed,Divorced,Yes,Yes,Other,Yes,1.0
206167,ZPQUIPQUYG,61.0,59031.0,219592.0,684.0,101.0,1.0,21.05,60.0,0.64,Master's,Self-employed,Divorced,No,No,Auto,Yes,1.0
206170,3WG7Y8586Q,27.0,147483.0,81114.0,391.0,14.0,2.0,21.74,36.0,0.8,Master's,Part-time,Single,No,No,Business,Yes,1.0
206171,N1R90XDNSH,62.0,15510.0,74308.0,632.0,15.0,2.0,3.85,12.0,0.45,Bachelor's,Part-time,Divorced,No,No,Other,No,1.0
206176,6TJ0ZBXLWN,19.0,28361.0,233639.0,723.0,104.0,2.0,13.7,36.0,0.7,Master's,Unemployed,Divorced,No,Yes,Other,No,1.0
206187,8805096A2E,19.0,28357.0,204761.0,698.0,2.0,3.0,3.05,36.0,0.81,PhD,Self-employed,Divorced,Yes,Yes,Auto,Yes,1.0
206207,2P6T6KGLO4,23.0,85848.0,169940.0,561.0,14.0,1.0,21.91,60.0,0.46,High School,Unemployed,Single,Yes,No,Home,No,1.0
206212,QET1EKN8NX,27.0,29798.0,228764.0,668.0,48.0,2.0,2.45,60.0,0.63,PhD,Full-time,Married,No,No,Business,No,1.0
206234,NFVKOK7CDD,26.0,25901.0,221179.0,620.0,41.0,1.0,5.54,24.0,0.19,Master's,Full-time,Divorced,Yes,No,Business,No,1.0
206236,IUV163W7CO,20.0,23483.0,221108.0,578.0,33.0,1.0,8.79,36.0,0.65,Master's,Part-time,Divorced,Yes,Yes,Other,No,1.0
206272,46MJVFQ2E5,37.0,70056.0,64664.0,334.0,22.0,3.0,24.15,60.0,0.77,High School,Part-time,Single,No,No,Home,No,1.0
206300,FRPXH2O55T,36.0,46028.0,183391.0,748.0,44.0,2.0,5.53,24.0,0.83,Master's,Unemployed,Single,No,Yes,Other,No,1.0
206303,Y6OIVJOGW6,19.0,85684.0,174623.0,764.0,40.0,3.0,20.59,60.0,0.27,Bachelor's,Unemployed,Single,Yes,No,Home,No,1.0
206313,MTRQYUW04U,26.0,47985.0,237253.0,539.0,39.0,1.0,14.39,36.0,0.48,Master's,Self-employed,Divorced,No,No,Education,No,1.0
206329,AE7A6BLJYU,22.0,102476.0,106237.0,312.0,55.0,3.0,18.02,48.0,0.6,PhD,Full-time,Single,No,No,Education,Yes,1.0
206336,CO98PL54L6,23.0,22903.0,178748.0,685.0,4.0,1.0,21.21,36.0,0.66,High School,Part-time,Married,Yes,No,Auto,No,1.0
206339,DJ611KANZ0,29.0,110997.0,207246.0,512.0,86.0,4.0,18.73,48.0,0.21,Master's,Part-time,Single,Yes,No,Education,No,1.0
206346,FNTZ6EP9LR,19.0,139149.0,116455.0,403.0,45.0,4.0,23.2,12.0,0.2,Master's,Part-time,Married,No,No,Business,No,1.0
206352,1NL2WGJV2T,25.0,45495.0,230801.0,335.0,94.0,4.0,19.9,60.0,0.47,Bachelor's,Part-time,Married,No,No,Business,No,1.0
206366,S2NS9UP64V,19.0,24277.0,134967.0,415.0,26.0,3.0,3.35,36.0,0.19,Master's,Unemployed,Single,Yes,No,Auto,Yes,1.0
206369,WANCGVGJII,29.0,110702.0,133267.0,792.0,49.0,4.0,20.8,36.0,0.79,PhD,Self-employed,Divorced,Yes,Yes,Business,Yes,1.0
206384,3FTVAJSTLM,53.0,46568.0,178580.0,792.0,28.0,1.0,24.77,36.0,0.63,Master's,Full-time,Married,No,Yes,Other,No,1.0
206386,L3FBF69JMS,27.0,97840.0,169226.0,327.0,55.0,2.0,14.98,24.0,0.56,Bachelor's,Full-time,Married,Yes,Yes,Other,No,1.0
206395,D15W2RQT5S,37.0,25191.0,166722.0,657.0,119.0,2.0,16.96,36.0,0.16,High School,Part-time,Single,Yes,Yes,Education,Yes,1.0
206397,NN7XRUXS9X,22.0,36212.0,39731.0,403.0,68.0,1.0,23.74,12.0,0.54,High School,Part-time,Divorced,Yes,No,Other,Yes,1.0
206399,U8WP5VWJ5T,25.0,111772.0,62980.0,377.0,55.0,1.0,12.47,12.0,0.86,Bachelor's,Unemployed,Divorced,No,Yes,Auto,Yes,1.0
206417,87UEXQEMP4,50.0,32524.0,186879.0,411.0,72.0,4.0,2.34,36.0,0.79,Master's,Unemployed,Single,Yes,No,Auto,No,1.0
206427,EUE6KUHDKV,38.0,74865.0,70014.0,476.0,42.0,3.0,17.74,36.0,0.8,High School,Full-time,Divorced,Yes,No,Education,Yes,1.0
206456,Q3ZM24Q9MA,68.0,83904.0,75114.0,305.0,48.0,3.0,22.29,12.0,0.34,PhD,Self-employed,Married,No,No,Home,Yes,1.0
206473,685Y4DBVN6,31.0,82785.0,137170.0,327.0,30.0,3.0,21.74,60.0,0.14,High School,Unemployed,Divorced,Yes,No,Home,No,1.0
206481,DS0065U1TJ,29.0,50362.0,43855.0,344.0,50.0,2.0,13.7,12.0,0.63,High School,Unemployed,Married,Yes,Yes,Education,No,1.0
206485,DZVLSGT2XX,62.0,143648.0,217313.0,419.0,83.0,4.0,17.53,36.0,0.63,Bachelor's,Unemployed,Single,No,Yes,Education,No,1.0
206488,O23A6X99EN,25.0,60928.0,142737.0,719.0,10.0,1.0,6.44,12.0,0.52,Bachelor's,Full-time,Married,Yes,Yes,Home,No,1.0
206494,PAEN9DJ0BA,19.0,17401.0,107231.0,438.0,63.0,2.0,19.75,48.0,0.89,Bachelor's,Part-time,Divorced,Yes,No,Business,No,1.0
206497,QYWGT78M3R,19.0,60620.0,217723.0,649.0,113.0,3.0,12.25,48.0,0.38,Master's,Self-employed,Married,Yes,No,Other,No,1.0
206513,5UVLS89K22,30.0,70427.0,113576.0,320.0,117.0,1.0,20.95,24.0,0.49,Master's,Unemployed,Married,No,Yes,Other,Yes,1.0
206515,QJ7XA68S07,55.0,30374.0,216648.0,549.0,25.0,4.0,19.1,36.0,0.43,Bachelor's,Self-employed,Married,No,No,Other,No,1.0
206525,4OZCS67MEB,18.0,27594.0,229649.0,540.0,28.0,3.0,15.31,60.0,0.2,High School,Full-time,Single,Yes,No,Other,Yes,1.0
206528,A9MT4DCV63,47.0,122433.0,33101.0,691.0,101.0,1.0,7.41,24.0,0.26,High School,Part-time,Divorced,Yes,No,Auto,No,1.0
206532,1ME4FD3Q18,46.0,57048.0,219257.0,684.0,118.0,2.0,7.49,48.0,0.29,High School,Self-employed,Single,No,Yes,Business,Yes,1.0
206558,2F0WKASCMF,36.0,96142.0,14689.0,365.0,47.0,4.0,16.42,24.0,0.6,Bachelor's,Part-time,Single,No,Yes,Auto,No,1.0
206561,8FUAES8VIL,18.0,80212.0,245128.0,505.0,4.0,3.0,15.78,24.0,0.22,PhD,Part-time,Divorced,No,Yes,Auto,Yes,1.0
206570,IHN02Z1OGO,27.0,64807.0,157448.0,816.0,73.0,4.0,13.35,60.0,0.74,High School,Unemployed,Divorced,No,No,Other,Yes,1.0
206575,T1S6WHS43A,30.0,37366.0,216827.0,774.0,19.0,3.0,17.03,48.0,0.43,High School,Full-time,Married,No,No,Other,No,1.0
206582,TUUMGM0ZA0,18.0,43396.0,19208.0,416.0,24.0,4.0,6.75,36.0,0.85,Bachelor's,Self-employed,Single,Yes,No,Other,No,1.0
206592,QHIKJXHNF4,28.0,29297.0,85603.0,342.0,75.0,1.0,17.08,24.0,0.81,Bachelor's,Full-time,Divorced,Yes,No,Education,Yes,1.0
206600,14ON197WRK,20.0,22407.0,232882.0,477.0,26.0,2.0,22.57,36.0,0.32,High School,Full-time,Single,Yes,Yes,Home,Yes,1.0
206606,22SAJ0NM2G,40.0,147097.0,13398.0,663.0,47.0,3.0,16.0,48.0,0.25,High School,Self-employed,Divorced,Yes,No,Other,Yes,1.0
206609,66PL24QFQ1,22.0,68366.0,143174.0,780.0,46.0,3.0,6.22,36.0,0.77,High School,Self-employed,Single,No,Yes,Home,Yes,1.0
206612,10SJH2DY6H,43.0,77407.0,11769.0,371.0,34.0,2.0,15.28,36.0,0.6,Master's,Full-time,Single,No,No,Home,No,1.0
206630,AUZGD4OSSW,47.0,36803.0,111853.0,477.0,16.0,2.0,12.87,60.0,0.63,PhD,Unemployed,Married,No,Yes,Auto,Yes,1.0
206649,HDN4N0QSHW,61.0,112706.0,142130.0,305.0,14.0,4.0,23.24,24.0,0.12,Master's,Unemployed,Married,Yes,No,Education,No,1.0
206670,WU82OI6OF6,27.0,132124.0,120529.0,740.0,45.0,3.0,23.92,12.0,0.66,High School,Unemployed,Divorced,No,Yes,Education,No,1.0
206691,1S106TW7LK,60.0,16675.0,249026.0,500.0,94.0,2.0,12.32,48.0,0.57,High School,Unemployed,Single,No,Yes,Other,No,1.0
206699,L8WTQP4VYJ,52.0,15610.0,219485.0,502.0,20.0,2.0,21.47,24.0,0.15,Master's,Self-employed,Married,No,No,Business,No,1.0
206703,1BDOFIS2SU,67.0,30179.0,70593.0,621.0,9.0,2.0,12.28,36.0,0.2,High School,Part-time,Divorced,No,Yes,Home,No,1.0
206706,D9YDT67AR7,30.0,78357.0,162339.0,799.0,2.0,3.0,22.16,12.0,0.39,PhD,Part-time,Single,No,No,Other,No,1.0
206714,38MNXKFLU9,42.0,101320.0,133635.0,398.0,106.0,1.0,24.7,24.0,0.17,Bachelor's,Self-employed,Divorced,No,Yes,Other,Yes,1.0
206716,O6DI05WN1D,23.0,130004.0,234455.0,321.0,53.0,2.0,19.18,48.0,0.53,Master's,Self-employed,Married,No,No,Home,No,1.0
206717,GLWAHHGOGC,25.0,56802.0,124291.0,456.0,42.0,1.0,12.14,12.0,0.11,Master's,Unemployed,Married,No,No,Home,No,1.0
206724,3VXVNMU1ZE,21.0,32161.0,209737.0,464.0,47.0,4.0,24.4,36.0,0.83,Bachelor's,Part-time,Divorced,No,No,Auto,Yes,1.0
206725,UCOWX9WX7R,30.0,54009.0,9915.0,754.0,74.0,3.0,18.67,24.0,0.89,PhD,Full-time,Married,Yes,No,Auto,Yes,1.0
206734,HK2RMKLC3D,52.0,20242.0,132498.0,708.0,46.0,3.0,4.78,36.0,0.24,Bachelor's,Part-time,Divorced,No,Yes,Education,No,1.0
206736,FIM0Z6GTYV,27.0,80989.0,248210.0,509.0,46.0,4.0,20.19,60.0,0.15,PhD,Full-time,Married,Yes,No,Education,No,1.0
206749,U1Q4WHBEO5,39.0,19506.0,239011.0,445.0,24.0,2.0,20.44,60.0,0.7,PhD,Unemployed,Married,No,Yes,Other,Yes,1.0
206753,TUIA3T5DVE,42.0,39187.0,147302.0,463.0,17.0,4.0,3.72,48.0,0.9,Master's,Self-employed,Married,No,No,Business,No,1.0
206758,OF2G3UFVHP,44.0,44894.0,92374.0,619.0,112.0,2.0,19.41,60.0,0.84,PhD,Part-time,Single,No,Yes,Auto,No,1.0
206772,XIBY0X6C5J,18.0,52524.0,116846.0,594.0,99.0,2.0,24.94,60.0,0.16,High School,Self-employed,Divorced,No,Yes,Education,Yes,1.0
206773,CVPO7X12P4,44.0,21732.0,244468.0,786.0,16.0,3.0,22.71,12.0,0.12,PhD,Self-employed,Divorced,Yes,No,Business,No,1.0
206787,KVUC5L1JNZ,31.0,22884.0,76143.0,840.0,51.0,4.0,22.93,36.0,0.52,Master's,Self-employed,Divorced,No,No,Other,Yes,1.0
206792,Z6HCYYRAOY,22.0,98394.0,113177.0,615.0,23.0,1.0,18.86,24.0,0.85,Master's,Part-time,Married,Yes,No,Business,No,1.0
206806,OHZVDW08Z9,61.0,15537.0,135604.0,322.0,73.0,4.0,3.47,60.0,0.62,PhD,Self-employed,Single,No,Yes,Home,Yes,1.0
206810,0F49U96C3U,39.0,32573.0,223159.0,455.0,84.0,4.0,24.18,48.0,0.25,High School,Self-employed,Married,No,Yes,Home,Yes,1.0
206826,4N7V4VOQ16,47.0,90617.0,195321.0,607.0,14.0,2.0,16.98,48.0,0.67,Bachelor's,Unemployed,Divorced,No,No,Business,Yes,1.0
206836,EFHFAK38DG,20.0,70343.0,112712.0,436.0,11.0,3.0,4.04,48.0,0.42,Bachelor's,Part-time,Divorced,No,Yes,Education,No,1.0
206844,Y5PFZEYLC0,29.0,120674.0,171909.0,367.0,57.0,2.0,23.02,12.0,0.24,Bachelor's,Part-time,Married,No,Yes,Business,Yes,1.0
206855,LMMQ70TV8X,22.0,27592.0,155048.0,588.0,21.0,3.0,16.63,24.0,0.18,Master's,Full-time,Married,No,Yes,Other,No,1.0
206862,SDJ5OOKGEK,64.0,74161.0,102581.0,309.0,38.0,4.0,21.93,12.0,0.36,High School,Unemployed,Divorced,No,No,Home,No,1.0
206876,7XAJOTK7RX,53.0,16103.0,143864.0,489.0,56.0,3.0,19.26,36.0,0.36,High School,Self-employed,Single,No,No,Other,No,1.0
206879,E8UQPM61ER,35.0,114922.0,97913.0,689.0,18.0,4.0,17.8,60.0,0.34,High School,Unemployed,Married,No,Yes,Home,No,1.0
206889,RADJ9IPLXA,47.0,96371.0,194730.0,410.0,39.0,3.0,24.14,60.0,0.13,Bachelor's,Part-time,Married,No,No,Business,No,1.0
206902,8BQ0FLDG8J,20.0,148705.0,223282.0,718.0,32.0,2.0,19.73,12.0,0.32,Bachelor's,Part-time,Single,No,Yes,Business,No,1.0
206904,J80D8DQ7I6,27.0,81201.0,230803.0,781.0,5.0,4.0,9.06,36.0,0.33,Bachelor's,Part-time,Single,No,No,Business,Yes,1.0
206905,SNGJCMWTRE,25.0,85448.0,74932.0,579.0,36.0,3.0,12.26,24.0,0.26,High School,Part-time,Divorced,No,Yes,Education,Yes,1.0
206928,ZA0RACNKSI,50.0,43637.0,189106.0,380.0,53.0,1.0,22.48,36.0,0.24,High School,Part-time,Divorced,Yes,No,Auto,No,1.0
206929,4C7PCGI68V,31.0,83482.0,79299.0,504.0,41.0,3.0,6.26,60.0,0.7,PhD,Full-time,Divorced,Yes,Yes,Auto,No,1.0
206932,5PQPT12DR0,47.0,86857.0,229870.0,396.0,51.0,4.0,19.69,36.0,0.6,PhD,Self-employed,Single,No,No,Home,Yes,1.0
206942,HGLCQQZGN3,18.0,30542.0,241016.0,345.0,98.0,2.0,17.57,60.0,0.72,PhD,Full-time,Divorced,No,No,Auto,Yes,1.0
206956,7ZXTTREO6G,46.0,27928.0,195944.0,751.0,53.0,2.0,23.76,36.0,0.64,Master's,Unemployed,Single,No,Yes,Auto,No,1.0
206969,M876RDN7BQ,24.0,27580.0,44575.0,476.0,11.0,2.0,21.15,36.0,0.38,PhD,Part-time,Single,No,Yes,Auto,Yes,1.0
206970,ISRF5YUFQA,38.0,137456.0,7332.0,514.0,10.0,1.0,24.65,24.0,0.4,Bachelor's,Full-time,Divorced,No,Yes,Home,No,1.0
206986,R0O20CNRJ6,69.0,16060.0,231366.0,767.0,72.0,1.0,21.77,60.0,0.52,PhD,Part-time,Married,No,No,Other,No,1.0
206988,MHMF92L53X,32.0,54276.0,225028.0,499.0,54.0,3.0,19.12,36.0,0.84,PhD,Self-employed,Divorced,No,No,Education,Yes,1.0
206997,8BFMX6UQ7O,48.0,24180.0,187854.0,781.0,8.0,2.0,20.97,12.0,0.22,PhD,Part-time,Divorced,Yes,No,Education,No,1.0
